Ticker,Empresa,Nota Asvid,Negócios,Nota IA,Setor,Retorno 1M,Retorno 1A,EBITDA (Var. %),Lucro Líq (Var. %),EV/EBITDA,P/L,DL/EBITDA,DL/EBITDA (Var. %),Valor de Mercado,Comentário Asvid
RAIL3,Rumo Log,3,"9,019",4,Transporte e Logística - Ferroviário,-11.85%,-17.7%,3.3%,23%,6.3,28,2.5,5.1%,26.69B,"A Rumo segue os seus projetos estratégicos, no momento surfando em um ganhod e volume e marketshare no mercado"
DXCO3,Dexco,3,"2,249",4,Materiais de Construção,-11.03%,-0.82%,5.6%,21%,4.4,57,2.3,-9.1%,4.512B,"Interessante essa recuperação do EBITDA da divisão de cerâmicos, pode ser o início de uma recuperação mais robusta para a Dexco"
POSI3,Positivo,3,832,4,Tecnologia,-13.98%,-14.5%,5.1%,8.3%,3.7,46,1.9,-10%,581.4M,"Esse foi o 4 estrelas mais otimista que eu vi da IA, a Positivo continua com dificuldades para entregar um resultado estável"
VBBR3,Vibra Energia,3,"14,819",5,Distribuição de Combustíveis,-1.385%,77.2%,20%,51%,8.1,13,2.6,-22%,38.69B,"Outra empresa de distribuição de combustíveis que veio com resultados recordes, mas atenção para o cenário contrubado do setor"
USIM5,Usiminas,3,"11,857",3,Siderurgia,42.76%,97.5%,110%,-19%,680,,-,0%,12.08B,"Resultado bem mediano para a Usiminas, operacional fraco, alguns ganhos não recorrentes, nada de mais"
SIMH3,Simpar,3,"4,646",4,Holdings,-27.69%,-2.35%,2%,-86%,3.8,170,3.4,-1.5%,5.534B,"Até que nesse resultado a Simpar entregou um pouco mais, vamos ver se o aumento de capital vai ajudar a empresa a embalar"
PTBL3,Portobello,3,454,2,Materiais de Construção,-18.64%,-63.1%,5.9%,2.7%,4.3,,3.4,0.58%,277.7M,"O resultado da Portobello continua ruim, mas pelo menos foi melhor que o 4T25, vamos ver se a empresa realmente aponta para cima"
UGPA3,Ultrapar,3,"7,639",5,Distribuição de Combustíveis,-1.914%,76.4%,18%,22%,6.2,10,1.9,-21%,31.73B,"O resultado realmente recuperou bem, mas no meio de um cenário conturbado de preço de combustíveis, difícil avaliar a resiliência"
SMTO3,São Martinho,3,"4,013",3,Agronegócio - Açúcar e Álcool,7.976%,-13%,-13%,38%,5.9,7.5,3.4,18%,5.754B,"O cenário não está favorável para as empresas sucroalcooleiras, o que pode piorar ainda mais com o crescimento do etanol de milho"
ABEV3,Ambev,3,"14,131",4,Alimentos e Bebidas,7.333%,21.4%,0.55%,0.51%,8,15,-,0%,258.5B,"Resultado um pouco melhor da Ambev, com alguns sucessos no mercado e controle de custos. À espera da aguardada copa do mundo"
CSNA3,CSN,3,"4,971",3,Siderurgia,1.355%,-23.5%,-4.9%,-12%,5.4,,4.3,2.8%,8.911B,"Resultado fraco da CSN, mercado de siderurgia só vai bem nos EUA, aqui muita dificuldade"
ROMI3,Indústrias Romi,3,691,2,Máquinas e Produtos Industriais,-5.429%,-23.6%,-6.7%,-9.3%,7.6,8.5,3.7,9.6%,608.4M,"Resultado da Romi veio bem ruim, apesar das B+W estarem indo bem o negócio de bens de capital piorou demais e tá feio"
TAEE11,Taesa,3,"4,603",4,Energia - Transmissão,-11.49%,18%,-1.3%,-0.76%,6.9,20,3.6,4.9%,13.6B,"Pois é, a IA mencionou a ""capacidade"" de transformar o lucro em dividendos, o problema é a dívida alta que isso gera. Eu não gosto"
RANI3,Irani,3,"1,297",2,Papel e Celulose,-4.829%,9.78%,-6%,-16%,4.8,11,1.8,7.3%,1.851B,"Resultao ruim da Irani, mesmo que impactado por fatores externos, o ano não começou nada bem para a empresa"
NGRD3,Neogrid,3,374,3,Software e Serviços de TI,2.081%,17.5%,-23%,100%,11,,-,0%,293.9M,"Resultado muito fraco da Neogrid como sempre, não vai deixar saudades quando fechar o capital"
